"prompt_id","family","prompt_text"
"P32_rigorous_but_brief","F02_reasoning_depth","Provide a rigorous but brief solution. Avoid long commentary, but do not skip essential justification. End with \boxed{...}.

Problem:
{problem}"
"P05_verify","F03_verification_checking","Solve the problem, then briefly check your result. The final line must be: Final answer: \boxed{...}.

Problem:
{problem}"
"P07_careful","F03_verification_checking","Solve the problem carefully. Check definitions, constraints, and edge cases before giving the answer. End with exactly one final answer in the form \boxed{...}.

Problem:
{problem}"
"P10_independent_check","F03_verification_checking","Solve the problem. After obtaining an answer, verify it using an independent check. End with exactly one final answer in the form \boxed{...}.

Problem:
{problem}"
"P18_error_check","F03_verification_checking","Solve the problem and actively check for common mistakes. Verify arithmetic, algebraic simplification, and boundary conditions. End with exactly one final answer in the form \boxed{...}.

Problem:
{problem}"
"P33_constraint_check","F03_verification_checking","Solve the problem. Before finalizing, check that the answer satisfies all stated constraints. End with \boxed{...}.

Problem:
{problem}"
"P34_boundary_check","F03_verification_checking","Solve the problem and check possible boundary or exceptional cases. Make sure the final answer is valid in all cases. End with \boxed{...}.

Problem:
{problem}"
"P35_sanity_check","F03_verification_checking","Solve the problem, then perform a brief sanity check on the magnitude, sign, or feasibility of the answer. End with \boxed{...}.

Problem:
{problem}"
"P36_substitution_check","F03_verification_checking","Solve the problem. If possible, substitute or test the final result back into the original conditions. End with \boxed{...}.

Problem:
{problem}"
"P37_mistake_resistant","F03_verification_checking","Solve the problem in a mistake-resistant way. Track assumptions and verify the final expression carefully. End with \boxed{...}.

Problem:
{problem}"
"P38_double_check_final","F03_verification_checking","Solve the problem and double-check the final answer before writing it. Do not include multiple final answers. End with \boxed{...}.

Problem:
{problem}"
"P11_plan_then_solve","F04_strategy_search","First identify a useful strategy, then solve the problem. Keep the reasoning focused and mathematical. End with \boxed{...}.

Problem:
{problem}"
"P13_symbolic","F04_strategy_search","Solve the problem using exact symbolic reasoning where possible. Avoid decimal approximations unless necessary. End with the final answer in the form \boxed{...}.

Problem:
{problem}"
"P14_work_backwards","F04_strategy_search","Solve the problem. If useful, reason backwards from the desired conclusion or answer form. End with exactly one final answer in the form \boxed{...}.

Problem:
{problem}"
"P16_invariants","F04_strategy_search","Solve the problem. Look for invariants, monotonicity, symmetry, or conserved quantities if useful. End with exactly one final answer in the form \boxed{...}.

Problem:
{problem}"
"P39_find_structure","F04_strategy_search","Solve the problem by first identifying its hidden structure. Use that structure to reduce the problem. End with \boxed{...}.

Problem:
{problem}"
"P40_transform_problem","F04_strategy_search","Solve the problem. If useful, transform it into an equivalent simpler problem before solving. End with \boxed{...}.

Problem:
{problem}"
"P41_symmetry_search","F04_strategy_search","Solve the problem. Look for symmetry or a natural normalization that simplifies the argument. End with \boxed{...}.

Problem:
{problem}"
"P42_extreme_principle","F04_strategy_search","Solve the problem. Consider whether an extremal argument, bounding idea, or monotonicity principle is useful. End with \boxed{...}.

Problem:
{problem}"
"P43_auxiliary_object","F04_strategy_search","Solve the problem. Introduce an auxiliary variable, construction, or reformulation if it simplifies the reasoning. End with \boxed{...}.

Problem:
{problem}"
"P44_multiple_strategies","F04_strategy_search","Solve the problem. Briefly choose among possible strategies, then execute the most efficient one. End with \boxed{...}.

Problem:
{problem}"
"P09_competition","F05_solution_structure","Solve this as a mathematics competition problem. Present a clear competition-style argument. End with the final answer in the form \boxed{...}.

Problem:
{problem}"
"P12_no_guessing","F05_solution_structure","Solve the problem without guessing. Derive the result logically from the given information. End with exactly one final answer in the form \boxed{...}.

Problem:
{problem}"
"P15_cases","F05_solution_structure","Solve the problem. Use case analysis if the problem has different possible configurations. Make sure all cases are covered. End with \boxed{...}.

Problem:
{problem}"
"P17_constructive","F05_solution_structure","Solve the problem constructively where appropriate. Show how the answer is obtained, not just why it is plausible. End with the final answer in the form \boxed{...}.

Problem:
{problem}"
"P45_case_complete","F05_solution_structure","Solve the problem with a complete case split if needed. Clearly state why the cases exhaust all possibilities. End with \boxed{...}.

Problem:
{problem}"
"P46_construct_and_prove","F05_solution_structure","Solve the problem by constructing a candidate answer and proving it works. Also justify that no other answer is possible if required. End with \boxed{...}.

Problem:
{problem}"
"P47_olympiad_clean","F05_solution_structure","Give a clean olympiad-style solution. Organize the argument into logical steps and avoid unsupported jumps. End with \boxed{...}.

Problem:
{problem}"
"P48_counting_structure","F05_solution_structure","Solve the problem by carefully organizing the relevant objects or cases. Avoid overcounting, missing cases, or unjustified assumptions. End with \boxed{...}.

Problem:
{problem}"
"P49_proof_of_optimality","F05_solution_structure","Solve the problem. If the problem asks for an extremal value or construction, prove both achievability and optimality. End with \boxed{...}.

Problem:
{problem}"
"P50_complete_argument","F05_solution_structure","Provide a complete mathematical argument from the assumptions to the final answer. Make sure the solution is self-contained. End with \boxed{...}.

Problem:
{problem}"
